span_in,depth_in,width_in,fc_psi,ncell,k_spring_lbf_per_in,n_springs_full,n_springs_half,spring_nodes,spring_z_locs,near_count,far_count,full_defl_in,half_defl_in,full_defl_ratio,half_defl_ratio,half_minus_full_in,status,note
720,43,672,4000.0,8,100000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.0525,0.1225,0.058,0.136,0.07,OK,PRELIMINARY-spring_overgrab
720,43,672,5000.0,8,1000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.1371,0.1653,0.152,0.184,0.0282,OK,PRELIMINARY-spring_overgrab
720,43,672,5000.0,8,5000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.0859,0.1397,0.095,0.155,0.0539,OK,PRELIMINARY-spring_overgrab
720,43,672,5000.0,8,100000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.0473,0.1099,0.053,0.122,0.0626,OK,PRELIMINARY-spring_overgrab
720,54,480,4000.0,6,1000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.1025,0.1228,0.114,0.136,0.0203,OK,PRELIMINARY-spring_overgrab
720,54,480,4000.0,6,5000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0666,0.1064,0.074,0.118,0.0398,OK,PRELIMINARY-spring_overgrab
720,54,480,4000.0,6,100000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0396,0.0873,0.044,0.097,0.0476,OK,PRELIMINARY-spring_overgrab
720,54,480,5000.0,6,1000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0937,0.1106,0.104,0.123,0.0169,OK,PRELIMINARY-spring_overgrab
720,54,480,5000.0,6,5000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0616,0.0963,0.068,0.107,0.0347,OK,PRELIMINARY-spring_overgrab
720,54,480,5000.0,6,100000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0357,0.0783,0.04,0.087,0.0426,OK,PRELIMINARY-spring_overgrab
720,54,672,4000.0,8,1000000.0,4,2,19657-19653-19687-19623,172.8-185.2-534.8-547.2,2,2,0.11,0.1255,0.122,0.139,0.0156,OK,PRELIMINARY-spring_overgrab
